run_id,loss,beta,sigma,lr,batch_size,seed,num_steps,final_mae,final_v_w_norm,v_w_norm_true,best_mae,best_step,best_v_w_norm,hjb_rmse,elapsed_sec
sig0.05_lr0.002_B4096_td_beta0_s2,td,0.0,0.05,0.002,4096,2,15000,10.358007119586423,589.9312744140625,732.4525030772962,3.576674108460157,11950,606.0333251953125,1.3220496546173295,444.9444737434387
sig0.05_lr0.002_B4096_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.002,4096,1,15000,9.546005875987255,640.1919555664062,732.4525030772962,4.070235504871138,14800,600.3694458007812,1.1349411480967517,542.6560471057892
sig0.05_lr0.005_B256_td_beta0_s0,td,0.0,0.05,0.005,256,0,15000,28.76248537714848,750.2215576171875,732.4525030772962,10.999640635506058,7650,602.8773193359375,5.222561421061248,114.15647506713867
sig0.05_lr0.002_B4096_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.002,4096,1,15000,12.173058176554509,593.5072631835938,732.4525030772962,5.262956421276779,14150,587.080322265625,1.4021074332168821,707.512393951416
sig0.05_lr0.005_B256_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.005,256,0,15000,20.73793022616657,621.245849609375,732.4525030772962,9.068475555366344,12050,629.3723754882812,3.9632632447243585,154.43630599975586
sig0.05_lr0.002_B4096_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.002,4096,1,15000,19.389157090585247,497.57855224609375,732.4525030772962,10.393483748069102,12950,495.0440673828125,2.2860222281127514,746.6878049373627
sig0.05_lr0.002_B4096_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.002,4096,2,15000,10.299300130298093,585.7974243164062,732.4525030772962,3.457471615958048,14900,696.263427734375,1.3143923428327173,780.8612480163574
sig0.05_lr0.005_B256_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.005,256,0,15000,17.621727378143813,671.2835693359375,732.4525030772962,8.330546140465678,10100,592.2186279296875,4.933913169637573,123.1785717010498
sig0.05_lr0.005_B256_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.005,256,0,15000,17.360735812320637,598.104248046875,732.4525030772962,8.3954861243983,12950,609.7916870117188,3.205865966251933,118.43659520149231
sig0.05_lr0.005_B256_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.005,256,0,15000,21.052635264475235,495.2479553222656,732.4525030772962,9.900980395616273,14700,520.5036010742188,3.045604632567444,115.25194072723389
sig0.05_lr0.002_B4096_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.002,4096,2,15000,10.659191926410154,570.0148315429688,732.4525030772962,3.383536395019295,11950,579.843017578125,1.4482965260274687,825.9815948009491
sig0.05_lr0.005_B256_td_beta0_s1,td,0.0,0.05,0.005,256,1,15000,24.851469987600986,388.3085021972656,732.4525030772962,11.005919829930658,10400,543.7603149414062,5.384259924202523,81.04292607307434
sig0.05_lr0.005_B256_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.005,256,1,15000,29.02701268666756,437.25018310546875,732.4525030772962,11.979392653466325,13600,658.6229858398438,5.493753271227686,101.00114107131958
sig0.05_lr0.005_B256_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.005,256,1,15000,25.8110023292917,350.75250244140625,732.4525030772962,12.351102261634997,10200,572.2376098632812,4.689334087439117,100.54803490638733
sig0.05_lr0.005_B256_td_beta0_s2,td,0.0,0.05,0.005,256,2,15000,29.536754452324477,501.8597717285156,732.4525030772962,11.799381949381054,8500,645.8695068359375,4.9759497245802615,78.10402584075928
sig0.05_lr0.005_B256_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.005,256,1,15000,28.715464777108732,299.4073181152344,732.4525030772962,12.357765837765696,8950,478.8791809082031,4.736925689588293,106.11030411720276
sig0.05_lr0.002_B4096_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.002,4096,2,15000,10.761679992989132,527.712890625,732.4525030772962,4.649142076176088,12450,596.7804565429688,1.7887169785880948,885.1441621780396
sig0.05_lr0.005_B256_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.005,256,1,15000,29.06226920071359,301.216796875,732.4525030772962,12.747487515270745,8950,418.65557861328125,4.166346246183305,114.4814977645874
sig0.05_lr0.005_B256_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.005,256,2,15000,41.311529993407504,398.3598327636719,732.4525030772962,11.537550449980829,14150,652.8617553710938,5.493916932536184,130.27516412734985
sig0.05_lr0.005_B256_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.005,256,2,15000,27.349666402302574,426.6676330566406,732.4525030772962,9.710430798807923,14750,592.2184448242188,4.4049394902252725,131.02353501319885
sig0.05_lr0.005_B256_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.005,256,2,15000,13.993134736154094,566.9449462890625,732.4525030772962,9.131917556624343,10600,561.5919189453125,2.3613986580191324,131.06710600852966
sig0.05_lr0.005_B256_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.005,256,2,15000,14.912022109665532,486.2594299316406,732.4525030772962,11.105329070241462,12850,582.7047729492188,2.9921649652992786,132.48267102241516
sig0.05_lr0.005_B1024_td_beta0_s0,td,0.0,0.05,0.005,1024,0,15000,11.056087121243422,634.0112915039062,732.4525030772962,6.307524780438802,10900,691.6732788085938,3.166161167067791,242.6735851764679
sig0.05_lr0.005_B1024_beta_dtd_beta0.1_s0,beta_dtd,0.1,0.05,0.005,1024,0,15000,9.401475864145235,651.8732299804688,732.4525030772962,6.103776744684842,13500,821.651123046875,2.6682319708259876,302.80787682533264
sig0.05_lr0.005_B1024_beta_dtd_beta0.25_s0,beta_dtd,0.25,0.05,0.005,1024,0,15000,9.814714254298018,631.062255859375,732.4525030772962,5.733186601344805,11800,682.9905395507812,2.6161534203666017,282.44542813301086
sig0.05_lr0.005_B1024_td_beta0_s1,td,0.0,0.05,0.005,1024,1,15000,12.130047304925665,743.2921752929688,732.4525030772962,6.358466638373326,9150,596.7752685546875,3.875237945816964,227.6502411365509
sig0.05_lr0.005_B1024_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.005,1024,0,15000,9.55128702155818,624.2404174804688,732.4525030772962,5.1324046034859165,14700,712.6925048828125,2.4717254878349437,283.1914539337158
sig0.05_lr0.005_B1024_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.005,1024,0,15000,14.605650309387102,525.9639892578125,732.4525030772962,8.8754002274212,11550,517.9947509765625,1.9850929018852506,282.97336864471436
sig0.05_lr0.005_B1024_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.005,1024,1,15000,12.439268890031496,639.5799560546875,732.4525030772962,6.006339903718284,13050,702.5496826171875,3.105375841212266,289.79980206489563
sig0.05_lr0.002_B4096_beta_dtd_beta0.75_s2,beta_dtd,0.75,0.05,0.002,4096,2,15000,15.053706192265393,459.85491943359375,732.4525030772962,10.30095992657347,12450,504.031494140625,2.6125274309273796,1079.629473209381
sig0.05_lr0.005_B1024_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.005,1024,1,15000,10.217592847870698,641.8402709960938,732.4525030772962,4.562577789511028,12100,660.029052734375,2.9355601799403184,304.70487689971924
sig0.05_lr0.005_B1024_td_beta0_s2,td,0.0,0.05,0.005,1024,2,15000,26.47181324764595,691.5426635742188,732.4525030772962,5.156928496858708,10650,696.41259765625,5.201833477055563,249.4835822582245
sig0.05_lr0.005_B1024_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.005,1024,1,15000,9.293756305323518,579.0853271484375,732.4525030772962,5.891910160654098,12450,559.6694946289062,2.285108096445815,311.1674189567566
